status,path,additions,deletions,subsystem,plan
M,src/snes/apu/snspcdsp.cpp,82,14,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcdsp.h,52,2,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcio.cpp,161,30,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
A,src/snes/apu/snspcio.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V3_20260917,233,0,SNES/APU-SPC-DSP,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/apu/snspcio.h,18,1,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcmix.cpp,621,348,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcmix.h,6,2,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcmixi.h,3,0,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspctimer.cpp,108,62,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
A,src/snes/core/dsp3emu.cpp,1180,0,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/dsp3emu.h,13,0,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/dsp4emu.cpp,1,9,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sncx4.cpp,146,80,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sncx4.h,5,6,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sndma.cpp,116,18,SNES/core-chips-bus,ROLLBACK_AA3D_DMA_IMPL_KEEP_CURRENT_HEADER
M,src/snes/core/sndma.h,7,0,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/sndma.h.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V2_20260917,88,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/core/sndsp1.cpp,22,22,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sndsp1.h,2,1,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sndsp2.cpp,16,8,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/sndsp3.cpp,51,0,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/sndsp3.h,18,0,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snes.cpp,709,130,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/snes.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V2_20260917,4500,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/core/snes.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V3_20260917,4558,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/core/snes.cpp.pre_AURORA_TOPGEAR_COMMON_CART_SCHED_FAST_V1_20260917,4493,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/core/snes.h,16,1,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sngsu.cpp,139,52,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/sngsu.h,7,1,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snmemmap.cpp,353,64,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snqueue.h,31,1,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snsa1.cpp,91,57,SNES/core-chips-bus,OPTIONAL_ROLLBACK_AA3D_SA1
M,src/snes/core/snsgb.cpp,8,587,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snsgb.h,47,103,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/core/snswc.cpp,107,21,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/snswc.cpp.pre_AURORA_SWC_12MBIT_SPLIT_ACCOUNTING_V1_20260917,3149,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/core/snswc.h,12,1,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
A,src/snes/core/snswc.h.pre_AURORA_SWC_12MBIT_SPLIT_ACCOUNTING_V1_20260917,337,0,SNES/core-chips-bus,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/core/sntiming.h,25,2,SNES/core-chips-bus,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/cpu/op65816.h,7,0,SNES/CPU-65816,ROLLBACK_AA3D_CPU
M,src/snes/cpu/op65816_mips.h,95,112,SNES/CPU-65816,ROLLBACK_AA3D_CPU
M,src/snes/cpu/sn65816.S,318,134,SNES/CPU-65816,ROLLBACK_AA3D_CPU
A,src/snes/cpu/sn65816.S.pre_AURORA_CPU_BRANCH_E_SPLIT_PERF_V1_20260916,2297,0,SNES/CPU-65816,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/cpu/sn65816.S.pre_AURORA_CPU_COMMON_HOTPATH_PERF_V3_20260916,2297,0,SNES/CPU-65816,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/cpu/sncpu_c.c,4,4,SNES/CPU-65816,ROLLBACK_AA3D_CPU
M,src/snes/ppu/snppu.cpp,335,53,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
M,src/snes/ppu/snppu.h,112,3,SNES/PPU-render,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/ppu/snppubg.cpp,273,52,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
A,src/snes/ppu/snppubg.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V5_20260917,1424,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/ppu/snppublend_gs.cpp,239,175,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
A,src/snes/ppu/snppublend_gs.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V4_20260917,1090,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/ppu/snppublend_gs.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V5_20260917,1121,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/ppu/snppublend_gs.h,11,6,SNES/PPU-render,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/ppu/snppuchrcache.h,50,0,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
M,src/snes/ppu/snppuobj.cpp,325,164,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
A,src/snes/ppu/snppuobj.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V6_R7_20260917,699,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/ppu/snppurender.cpp,395,20,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
A,src/snes/ppu/snppurender.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V4_20260917,805,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/ppu/snppurender.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V5_20260917,810,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/ppu/snppurender.h,12,4,SNES/PPU-render,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/ppu/snppurender8.cpp,954,250,SNES/PPU-render,ROLLBACK_AA3D_PPU_IMPL
A,src/snes/ppu/snppurender8.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V4_20260917,2942,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/ppu/snppurender8.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V5_20260917,2995,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/ppu/snppurender8.cpp.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V6_R7_20260917,3111,0,SNES/PPU-render,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/ppu/snppurenderi.h,5,0,SNES/PPU-render,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/rom/snrom.cpp,308,84,SNES/ROM,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/rom/snrom.h,7,0,SNES/ROM,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/snes/state/snstate.cpp,58,2,SNES/state,KEEP_CURRENT_FEATURE_UNLESS_SEPARATE_PATCH
M,src/third_party/beetle-pce-fast,1,1,submodule-third-party,KEEP_CURRENT_PIN_PROTECTED
M,src/third_party/gpsp,1,1,submodule-third-party,KEEP_CURRENT_PIN_PROTECTED
M,src/third_party/picodrive,1,1,submodule-third-party,KEEP_CURRENT_PIN_PROTECTED
M,src/third_party/quicknes,1,1,submodule-third-party,KEEP_CURRENT_PIN_PROTECTED
M,tools/prepare_gpsp_aurora_sources.py,78,0,other,KEEP_CURRENT
A,tools/strip_gambatte_sgb_stage.py,500,0,other,KEEP_CURRENT
